lat,lon,velocity_mm_yr,region,infrastruktur_naehe
51.580976,7.762853,3.5,Ruhrgebiet-Ost,
51.580988,7.764007,3.6,Ruhrgebiet-Ost,
51.581475,7.742056,3.6,Ruhrgebiet-Ost,
51.581647,7.758216,4.4,Ruhrgebiet-Ost,
51.581659,7.759370,4.2,Ruhrgebiet-Ost,
51.581671,7.760525,4.0,Ruhrgebiet-Ost,
51.581683,7.761679,4.0,Ruhrgebiet-Ost,
51.581695,7.762833,3.3,Ruhrgebiet-Ost,
51.582243,7.746653,4.3,Ruhrgebiet-Ost,
51.582329,7.754733,4.6,Ruhrgebiet-Ost,
51.582341,7.755888,4.2,Ruhrgebiet-Ost,
51.582378,7.759351,4.3,Ruhrgebiet-Ost,
51.582390,7.760505,4.6,Ruhrgebiet-Ost,
51.582402,7.761659,4.1,Ruhrgebiet-Ost,
51.583012,7.751251,4.2,Ruhrgebiet-Ost,
51.583024,7.752405,4.1,Ruhrgebiet-Ost,
51.583048,7.754714,4.6,Ruhrgebiet-Ost,
51.583061,7.755868,5.5,Ruhrgebiet-Ost,
51.583073,7.757022,4.6,Ruhrgebiet-Ost,
51.582120,7.608096,-3.2,Ruhrgebiet-Ost,
51.583644,7.743150,4.0,Ruhrgebiet-Ost,
51.583877,7.765083,4.3,Ruhrgebiet-Ost,
51.584010,7.777782,3.3,Ruhrgebiet-Ost,
51.586596,8.058320,-4.0,Ruhrgebiet-Ost,
51.584339,7.740822,6.1,Ruhrgebiet-Ost,
51.584499,7.755829,3.8,Ruhrgebiet-Ost,
51.584717,7.776608,3.2,Ruhrgebiet-Ost,
51.585144,7.748883,3.5,Ruhrgebiet-Ost,
51.585243,7.758118,3.9,Ruhrgebiet-Ost,
51.585255,7.759272,4.4,Ruhrgebiet-Ost,
51.585962,7.758098,4.2,Ruhrgebiet-Ost,
51.585974,7.759253,4.8,Ruhrgebiet-Ost,
51.586144,7.775415,3.3,Ruhrgebiet-Ost,
51.586309,7.723446,15.0,Ruhrgebiet-Ost,
51.586681,7.758079,3.8,Ruhrgebiet-Ost,
51.586851,7.774241,3.8,Ruhrgebiet-Ost,
51.586863,7.775396,3.3,Ruhrgebiet-Ost,
51.587449,7.762677,3.8,Ruhrgebiet-Ost,
51.586666,7.627588,4.6,Ruhrgebiet-Ost,
51.588046,7.751113,3.1,Ruhrgebiet-Ost,
51.588095,7.755731,3.2,Ruhrgebiet-Ost,
51.588301,7.775357,3.4,Ruhrgebiet-Ost,
51.588313,7.776511,3.3,Ruhrgebiet-Ost,
51.588325,7.777666,3.4,Ruhrgebiet-Ost,
51.587291,7.619486,6.9,Ruhrgebiet-Ost,
51.588887,7.762638,3.1,Ruhrgebiet-Ost,
51.589020,7.775338,3.8,Ruhrgebiet-Ost,
51.589032,7.776492,3.7,Ruhrgebiet-Ost,
51.590338,7.763753,3.2,Ruhrgebiet-Ost,
51.593629,8.038540,-3.1,Ruhrgebiet-Ost,
51.590736,7.606678,-3.5,Ruhrgebiet-Ost,
51.592422,7.756767,3.2,Ruhrgebiet-Ost,
51.592519,7.766004,3.1,Ruhrgebiet-Ost,
51.597684,8.096206,3.2,Ruhrgebiet-Ost,
51.599671,8.074220,4.5,Ruhrgebiet-Ost,
51.597209,7.733536,3.5,Ruhrgebiet-Ost,
51.599173,7.783150,5.6,Ruhrgebiet-Ost,
51.602738,7.927452,-5.2,Ruhrgebiet-Ost,
51.480341,7.031669,-3.2,Bottrop-Gladbeck,
51.480534,7.043183,-3.9,Bottrop-Gladbeck,
51.481448,7.012034,-3.2,Bottrop-Gladbeck,
51.481656,6.982067,-3.9,Bottrop-Gladbeck,
51.482167,7.012003,-3.5,Bottrop-Gladbeck,
